symbol,date
AAPL,2021-04-03
AAPL,2022-04-03
AAPL,2023-04-03
AAPL,2024-04-03
AAPL,2025-04-03
AAPL,2026-02-05
AAPL,2021-04-03
AAPL,2022-04-03
AAPL,2023-04-03
AAPL,2024-04-03
AAPL,2025-04-03
AAPL,2026-02-05
AAPL,2021-04-03
AAPL,2022-04-03
AAPL,2023-04-03
AAPL,2024-04-03
AAPL,2025-04-03
AAPL,2026-02-05
AAPL,2021-04-03
AAPL,2022-04-03
AAPL,2023-04-03
AAPL,2024-04-03
AAPL,2025-04-03
AAPL,2026-02-05
ABBV,2021-04-03
ABBV,2022-04-03
ABBV,2023-04-03
ABBV,2024-04-03
ABBV,2025-04-03
ABBV,2026-02-05
ABBV,2021-04-03
ABBV,2022-04-03
ABBV,2023-04-03
ABBV,2024-04-03
ABBV,2025-04-03
ABBV,2026-02-05
ABBV,2021-04-03
ABBV,2022-04-03
ABBV,2023-04-03
ABBV,2024-04-03
ABBV,2025-04-03
ABBV,2026-02-05
ABBV,2021-04-03
ABBV,2022-04-03
ABBV,2023-04-03
ABBV,2024-04-03
ABBV,2025-04-03
ABBV,2026-02-05
AMAT,2021-04-03
AMAT,2022-04-03
AMAT,2023-04-03
AMAT,2024-04-03
AMAT,2025-04-03
AMAT,2026-02-05
AMAT,2021-04-03
AMAT,2022-04-03
AMAT,2023-04-03
AMAT,2024-04-03
AMAT,2025-04-03
AMAT,2026-02-05
AMAT,2021-04-03
AMAT,2022-04-03
AMAT,2023-04-03
AMAT,2024-04-03
AMAT,2025-04-03
AMAT,2026-02-05
AMAT,2021-04-03
AMAT,2022-04-03
AMAT,2023-04-03
AMAT,2024-04-03
AMAT,2025-04-03
AMAT,2026-02-05
AMD,2021-04-03
AMD,2022-04-03
AMD,2023-04-03
AMD,2024-04-03
AMD,2025-04-03
AMD,2026-02-05
AMD,2021-04-03
AMD,2022-04-03
AMD,2023-04-03
AMD,2024-04-03
AMD,2025-04-03
AMD,2026-02-05
AMD,2021-04-03
AMD,2022-04-03
AMD,2023-04-03
AMD,2024-04-03
AMD,2025-04-03
AMD,2026-02-05
AMD,2021-04-03
AMD,2022-04-03
AMD,2023-04-03
AMD,2024-04-03
AMD,2025-04-03
AMD,2026-02-05
AMZN,2021-04-03
AMZN,2022-04-03
AMZN,2023-04-03
AMZN,2024-04-03
AMZN,2025-04-03
AMZN,2026-02-05
AMZN,2021-04-03
AMZN,2022-04-03
AMZN,2023-04-03
AMZN,2024-04-03
AMZN,2025-04-03
AMZN,2026-02-05
AMZN,2021-04-03
AMZN,2022-04-03
AMZN,2023-04-03
AMZN,2024-04-03
AMZN,2025-04-03
AMZN,2026-02-05
AMZN,2021-04-03
