symbol,date,timestamp,TotalRevenue,CostOfRevenue,GrossProfit,SellingGeneralAndAdministration,ResearchAndDevelopment,OtherOpEx,OperatingExpense,OperatingIncome,NetInterestIncome,OtherInc,PretaxIncome,TaxProvision,OtherAfterTaxEx,NetIncome,OtherStockholders,NetIncomeCommonStockholders,DilutedAverageShares,RevGrowth,GrossMargin,OpMargin,NetMargin,SG&A_Rev,R&D_Rev,OtherEx_Rev,EPS,DepreciationAndAmortization,OtherNonCashAdj,CashFlowFromContinuingOperatingActivities,CashFlowFromContinuingInvestingActivities,CashFlowFromContinuingFinancingActivities,ChangesInCash,OperatingCashFlow,CapitalExpenditure,FreeCashFlow,CFGrowth,CXChange,FCFGrowth,FCFMargin,TotalAssets,CurrentAssets,CashCashEquivalentsAndShortTermInvestments,Inventory,TotalNonCurrentAssets,NetPPE,TotalLiabilitiesNetMinorityInterest,CurrentLiabilities,CurrentDebtAndCapitalLeaseObligation,TotalNonCurrentLiabilitiesNetMinorityInterest,LongTermDebtAndCapitalLeaseObligation,TotalEquityGrossMinorityInterest,CommonStockEquity,RetainedEarnings,NetDebt,TangibleAssets,CapitalEmployed,InvestedCapital,NCAV,Shares,D_E,AssetsGrowth,TAGrowth,EquityGrowth,ICGrowth,source,currency,market_cap
AAPL,2022-09-30,2026-02-05T06:10:32.419079+0000,394328000000,223546000000,170782000000,25094000000,26251000000,0,51345000000,119437000000,-106000000,-228000000,119103000000,19300000000,0,99803000000,0,99803000000,16325819000,,0.433096,0.302887,0.253096,0.063637,0.066571,0.0,6.1132,11104000000,11244000000,122151000000,-22354000000,-110749000000,-10952000000,122151000000,-10708000000,111443000000,,,,0.912338,352755000000,135405000000,48304000000,4946000000,217350000000,42117000000,302083000000,153982000000,22773000000,148101000000,109707000000,50672000000,50672000000,-3068000000,84176000000,47063000000,198773000000,147095000000,-166678000000,15943425000,2.614462,,,,,yahooquery,usd,mega_cap
AAPL,2023-09-30,2026-02-05T06:10:32.419079+0000,383285000000,214137000000,169148000000,24932000000,29915000000,0,54847000000,114301000000,-183000000,-382000000,113736000000,16741000000,0,96995000000,0,96995000000,15812547000,-0.028005,0.441311,0.298214,0.253062,0.065048,0.078049,0.0,6.134053,11519000000,2029000000,110543000000,3705000000,-108488000000,5760000000,110543000000,-10959000000,99584000000,-0.09503,0.02344,-0.106413,0.900862,352583000000,143566000000,61555000000,6331000000,209017000000,43715000000,290437000000,145308000000,15807000000,145129000000,95281000000,62146000000,62146000000,-214000000,49533000000,50046000000,207275000000,143269000000,-146871000000,15550061000,1.787533,-0.000488,0.063383,0.226437,-0.02601,yahooquery,usd,mega_cap
AAPL,2024-09-30,2026-02-05T06:10:32.419079+0000,391035000000,210352000000,180683000000,26097000000,31370000000,0,57467000000,123216000000,,269000000,123485000000,29749000000,0,93736000000,0,93736000000,15408095000,0.02022,0.462063,0.315102,0.239713,0.066738,0.080223,0.0,6.083555,11445000000,13073000000,118254000000,2935000000,-121983000000,-794000000,118254000000,-9447000000,108807000000,0.069756,-0.137969,0.092615,0.920113,364980000000,152987000000,65171000000,7286000000,211993000000,45680000000,308030000000,176392000000,20879000000,131638000000,85750000000,56950000000,56950000000,-19154000000,41458000000,52966000000,188588000000,133636000000,-155043000000,15116786000,1.872327,0.035161,0.058346,-0.08361,-0.067237,yahooquery,usd,mega_cap
AAPL,2025-09-30,2026-02-05T06:10:32.419079+0000,416161000000,220960000000,195201000000,27601000000,34550000000,0,62151000000,133050000000,,-321000000,132729000000,20719000000,0,112010000000,0,112010000000,15004697000,0.064255,0.469052,0.319708,0.269151,0.066323,0.083021,0.0,7.464996,11698000000,-12226000000,111482000000,15195000000,-120686000000,5991000000,111482000000,-12715000000,98767000000,-0.057267,0.34593,-0.092273,0.885946,359241000000,147957000000,54697000000,5718000000,211284000000,49834000000,285508000000,165631000000,20329000000,119877000000,78328000000,73733000000,73733000000,-14264000000,43960000000,55552000000,193610000000,136456000000,-137551000000,14773260000,1.33803,-0.015724,0.048824,0.294697,0.021102,yahooquery,usd,mega_cap
ABBV,2021-12-31,2026-02-05T06:10:32.419079+0000,56197000000,17446000000,38751000000,12349000000,8046000000,432000000,20827000000,17924000000,-2384000000,-2551000000,12989000000,1440000000,7000000,11542000000,-74000000,11468000000,1777000000,,0.689556,0.318949,0.204068,0.219745,0.143175,0.007687,6.453573,8521000000,2714000000,22777000000,-2344000000,-19039000000,1394000000,22777000000,-787000000,21990000000,,,,0.965448,146529000000,27928000000,9830000000,3128000000,118601000000,5110000000,131093000000,35194000000,12495000000,95899000000,64189000000,15436000000,15408000000,3127000000,66854000000,8238000000,111335000000,82374000000,-103165000000,1768337696,4.967867,,,,,yahooquery,usd,mega_cap
ABBV,2022-12-31,2026-02-05T06:10:32.419079+0000,58054000000,17414000000,40640000000,15260000000,6510000000,56000000,21826000000,18814000000,-2044000000,-3293000000,13477000000,1632000000,9000000,11836000000,-54000000,11782000000,1778000000,0.033044,0.700038,0.324078,0.202949,0.262859,0.112137,0.000965,6.626547,8467000000,4640000000,24943000000,-623000000,-24803000000,-483000000,24943000000,-695000000,24248000000,0.095096,-0.1169,0.102683,0.972136,138805000000,28463000000,9229000000,3579000000,110342000000,4935000000,121518000000,29538000000,4136000000,91980000000,59135000000,17287000000,17254000000,4784000000,54042000000,8514000000,109267000000,71357000000,-93055000000,1769181294,3.660034,-0.052713,0.033503,0.119808,-0.133744,yahooquery,usd,mega_cap
ABBV,2023-12-31,2026-02-05T06:10:32.419079+0000,54318000000,20415000000,33903000000,12872000000,7675000000,-179000000,20368000000,13535000000,-1684000000,-5601000000,6250000000,1377000000,10000000,4863000000,-43000000,4820000000,1773000000,-0.064354,0.624158,0.249181,0.088737,0.236975,0.141298,-0.003295,2.718556,8698000000,9278000000,22839000000,-2009000000,-17222000000,3608000000,22839000000,-777000000,22062000000,-0.084352,0.117986,-0.090152,0.965979,134711000000,33002000000,12816000000,4099000000,101709000000,4989000000,124314000000,37841000000,7191000000,86473000000,52194000000,10397000000,10360000000,-1000000000,46569000000,9088000000,96870000000,56968000000,-91312000000,1765940733,5.711744,-0.029495,0.067418,-0.39956,-0.201648,yahooquery,usd,mega_cap
ABBV,2024-12-31,2026-02-05T06:10:32.419079+0000,56334000000,16904000000,39430000000,14752000000,12791000000,-7000000,27536000000,11894000000,-2160000000,-6018000000,3716000000,-570000000,8000000,4278000000,-40000000,4238000000,1773000000,0.037115,0.699933,0.211134,0.07523,0.261867,0.227056,-0.000124,2.390299,8386000000,6142000000,18806000000,-20820000000,-5211000000,-7225000000,18806000000,-974000000,17832000000,-0.176584,0.253539,-0.191732,0.948208,135161000000,25582000000,5555000000,4181000000,109579000000,5134000000,131797000000,38749000000,6804000000,93048000000,60340000000,3364000000,3325000000,-7900000000,61589000000,9315000000,96412000000,64984000000,-106215000000,1765256986,19.959572,0.00334,0.024978,-0.679054,0.140711,yahooquery,usd,mega_cap
AMAT,2022-10-31,2026-02-05T06:10:32.419079+0000,25785000000,13792000000,11993000000,1438000000,2771000000,0,4209000000,7784000000,-189000000,4000000,7599000000,1074000000,0,6525000000,0,6525000000,877000000,,0.465115,0.301881,0.253054,0.055769,0.107466,0.0,7.440137,444000000,-1570000000,5399000000,-1357000000,-7043000000,-3001000000,5399000000,-787000000,4612000000,,,,0.854232,26726000000,15925000000,2581000000,5932000000,10801000000,2696000000,14532000000,7379000000,85000000,7153000000,5744000000,12194000000,12194000000,37892000000,3248000000,8628000000,19347000000,15656000000,1393000000,844000000,0.478022,,,,,yahooquery,usd,mega_cap
AMAT,2023-10-31,2026-02-05T06:10:32.419079+0000,26517000000,14133000000,12384000000,1628000000,3102000000,0,4730000000,7654000000,62000000,0,7716000000,860000000,0,6856000000,0,6856000000,845000000,0.028389,0.467021,0.288645,0.258551,0.061395,0.116982,0.0,8.113609,515000000,1329000000,8700000000,-1535000000,-3032000000,4133000000,8700000000,-1106000000,7594000000,0.61141,0.405337,0.646574,0.872874,30729000000,19147000000,6869000000,5725000000,11582000000,3201000000,14380000000,7372000000,286000000,7008000000,5713000000,16349000000,16349000000,43726000000,-870000000,8926000000,23357000000,16349000000,4767000000,833000000,0.366934,0.149779,0.034539,0.340741,0.044264,yahooquery,usd,mega_cap
