,realtime_start,date,value
0,1992-12-22 00:00:00,1946-01-01 00:00:00,199.7
1,1996-01-19 00:00:00,1946-01-01 00:00:00,
2,1997-05-07 00:00:00,1946-01-01 00:00:00,210.4
3,1999-10-28 00:00:00,1946-01-01 00:00:00,
4,1992-12-22 00:00:00,1946-04-01 00:00:00,207.7
5,1996-01-19 00:00:00,1946-04-01 00:00:00,
6,1997-05-07 00:00:00,1946-04-01 00:00:00,218.5
7,1999-10-28 00:00:00,1946-04-01 00:00:00,
8,1992-12-22 00:00:00,1946-07-01 00:00:00,217.9
9,1996-01-19 00:00:00,1946-07-01 00:00:00,
10,1997-05-07 00:00:00,1946-07-01 00:00:00,228.6
11,1999-10-28 00:00:00,1946-07-01 00:00:00,
12,1992-12-22 00:00:00,1946-10-01 00:00:00,222.2
13,1996-01-19 00:00:00,1946-10-01 00:00:00,
14,1997-05-07 00:00:00,1946-10-01 00:00:00,232.8
15,1999-10-28 00:00:00,1946-10-01 00:00:00,
16,1992-12-22 00:00:00,1947-01-01 00:00:00,226.7
17,1996-01-19 00:00:00,1947-01-01 00:00:00,
18,1997-05-07 00:00:00,1947-01-01 00:00:00,237.4
19,1999-10-28 00:00:00,1947-01-01 00:00:00,
20,2000-04-27 00:00:00,1947-01-01 00:00:00,237.5
21,2003-12-10 00:00:00,1947-01-01 00:00:00,237.2
22,2013-07-31 00:00:00,1947-01-01 00:00:00,243.1
23,2017-10-27 00:00:00,1947-01-01 00:00:00,243.08
24,2018-07-27 00:00:00,1947-01-01 00:00:00,243.164
25,1992-12-22 00:00:00,1947-04-01 00:00:00,230.6
26,1996-01-19 00:00:00,1947-04-01 00:00:00,
27,1997-05-07 00:00:00,1947-04-01 00:00:00,240.9
28,1999-10-28 00:00:00,1947-04-01 00:00:00,
29,2000-04-27 00:00:00,1947-04-01 00:00:00,240.7
30,2003-12-10 00:00:00,1947-04-01 00:00:00,240.5
31,2009-07-31 00:00:00,1947-04-01 00:00:00,240.4
32,2013-07-31 00:00:00,1947-04-01 00:00:00,246.3
33,2017-10-27 00:00:00,1947-04-01 00:00:00,246.267
34,2018-07-27 00:00:00,1947-04-01 00:00:00,245.968
35,1992-12-22 00:00:00,1947-07-01 00:00:00,234.9
36,1996-01-19 00:00:00,1947-07-01 00:00:00,
37,1997-05-07 00:00:00,1947-07-01 00:00:00,245.1
38,1999-10-28 00:00:00,1947-07-01 00:00:00,
39,2000-04-27 00:00:00,1947-07-01 00:00:00,244.9
40,2003-12-10 00:00:00,1947-07-01 00:00:00,244.6
41,2009-07-31 00:00:00,1947-07-01 00:00:00,244.5
42,2013-07-31 00:00:00,1947-07-01 00:00:00,250.1
43,2017-10-27 00:00:00,1947-07-01 00:00:00,250.115
44,2018-07-27 00:00:00,1947-07-01 00:00:00,249.585
45,1992-12-22 00:00:00,1947-10-01 00:00:00,245.0
46,1996-01-19 00:00:00,1947-10-01 00:00:00,
47,1997-05-07 00:00:00,1947-10-01 00:00:00,255.0
48,1999-10-28 00:00:00,1947-10-01 00:00:00,
49,2000-04-27 00:00:00,1947-10-01 00:00:00,254.7
50,2003-12-10 00:00:00,1947-10-01 00:00:00,254.4
51,2009-07-31 00:00:00,1947-10-01 00:00:00,254.3
52,2013-07-31 00:00:00,1947-10-01 00:00:00,260.3
53,2017-10-27 00:00:00,1947-10-01 00:00:00,260.309
54,2018-07-27 00:00:00,1947-10-01 00:00:00,259.745
55,1992-12-22 00:00:00,1948-01-01 00:00:00,251.1
56,1996-01-19 00:00:00,1948-01-01 00:00:00,
57,1997-05-07 00:00:00,1948-01-01 00:00:00,260.8
58,1999-10-28 00:00:00,1948-01-01 00:00:00,
59,2000-04-27 00:00:00,1948-01-01 00:00:00,260.8
60,2003-12-10 00:00:00,1948-01-01 00:00:00,260.4
61,2009-07-31 00:00:00,1948-01-01 00:00:00,260.3
62,2013-07-31 00:00:00,1948-01-01 00:00:00,266.2
63,2017-10-27 00:00:00,1948-01-01 00:00:00,266.173
64,2018-07-27 00:00:00,1948-01-01 00:00:00,265.742
65,1992-12-22 00:00:00,1948-04-01 00:00:00,258.3
66,1996-01-19 00:00:00,1948-04-01 00:00:00,
67,1997-05-07 00:00:00,1948-04-01 00:00:00,267.9
68,1999-10-28 00:00:00,1948-04-01 00:00:00,
69,2000-04-27 00:00:00,1948-04-01 00:00:00,267.7
70,2003-12-10 00:00:00,1948-04-01 00:00:00,267.3
71,2013-07-31 00:00:00,1948-04-01 00:00:00,272.9
72,2017-10-27 00:00:00,1948-04-01 00:00:00,272.897
73,2018-07-27 00:00:00,1948-04-01 00:00:00,272.567
74,1992-12-22 00:00:00,1948-07-01 00:00:00,265.3
75,1996-01-19 00:00:00,1948-07-01 00:00:00,
76,1997-05-07 00:00:00,1948-07-01 00:00:00,274.4
77,1999-10-28 00:00:00,1948-07-01 00:00:00,
78,2000-04-27 00:00:00,1948-07-01 00:00:00,274.3
79,2003-12-10 00:00:00,1948-07-01 00:00:00,273.9
80,2009-07-31 00:00:00,1948-07-01 00:00:00,273.8
81,2013-07-31 00:00:00,1948-07-01 00:00:00,279.5
82,2017-10-27 00:00:00,1948-07-01 00:00:00,279.497
83,2018-07-27 00:00:00,1948-07-01 00:00:00,279.196
84,1992-12-22 00:00:00,1948-10-01 00:00:00,266.6
85,1996-01-19 00:00:00,1948-10-01 00:00:00,
86,1997-05-07 00:00:00,1948-10-01 00:00:00,275.8
87,1999-10-28 00:00:00,1948-10-01 00:00:00,
88,2000-04-27 00:00:00,1948-10-01 00:00:00,275.6
89,2003-12-10 00:00:00,1948-10-01 00:00:00,275.2
90,2009-07-31 00:00:00,1948-10-01 00:00:00,275.1
91,2013-07-31 00:00:00,1948-10-01 00:00:00,280.7
92,2017-10-27 00:00:00,1948-10-01 00:00:00,280.656
93,2018-07-27 00:00:00,1948-10-01 00:00:00,280.366
94,1992-12-22 00:00:00,1949-01-01 00:00:00,261.6
95,1996-01-19 00:00:00,1949-01-01 00:00:00,
96,1997-05-07 00:00:00,1949-01-01 00:00:00,270.6
97,1999-10-28 00:00:00,1949-01-01 00:00:00,
98,2000-04-27 00:00:00,1949-01-01 00:00:00,270.4
99,2003-12-10 00:00:00,1949-01-01 00:00:00,270.0
100,2009-07-31 00:00:00,1949-01-01 00:00:00,269.9
101,2013-07-31 00:00:00,1949-01-01 00:00:00,275.4
102,2017-10-27 00:00:00,1949-01-01 00:00:00,275.37
103,2018-07-27 00:00:00,1949-01-01 00:00:00,275.034
104,1992-12-22 00:00:00,1949-04-01 00:00:00,258.1
105,1996-01-19 00:00:00,1949-04-01 00:00:00,
106,1997-05-07 00:00:00,1949-04-01 00:00:00,266.7
107,1999-10-28 00:00:00,1949-04-01 00:00:00,
108,2000-04-27 00:00:00,1949-04-01 00:00:00,266.6
109,2003-12-10 00:00:00,1949-04-01 00:00:00,266.2
110,2013-07-31 00:00:00,1949-04-01 00:00:00,271.7
111,2017-10-27 00:00:00,1949-04-01 00:00:00,271.692
112,2018-07-27 00:00:00,1949-04-01 00:00:00,271.351
113,1992-12-22 00:00:00,1949-07-01 00:00:00,259.9
114,1996-01-19 00:00:00,1949-07-01 00:00:00,
115,1997-05-07 00:00:00,1949-07-01 00:00:00,268.1
116,1999-10-28 00:00:00,1949-07-01 00:00:00,
117,2000-04-27 00:00:00,1949-07-01 00:00:00,268.0
118,2003-12-10 00:00:00,1949-07-01 00:00:00,267.7
119,2009-07-31 00:00:00,1949-07-01 00:00:00,267.6
120,2013-07-31 00:00:00,1949-07-01 00:00:00,273.3
121,2017-10-27 00:00:00,1949-07-01 00:00:00,273.262
122,2018-07-27 00:00:00,1949-07-01 00:00:00,272.889
123,1992-12-22 00:00:00,1949-10-01 00:00:00,257.7
124,1996-01-19 00:00:00,1949-10-01 00:00:00,
125,1997-05-07 00:00:00,1949-10-01 00:00:00,265.7
126,1999-10-28 00:00:00,1949-10-01 00:00:00,
127,2000-04-27 00:00:00,1949-10-01 00:00:00,265.6
128,2003-12-10 00:00:00,1949-10-01 00:00:00,265.2
129,2013-07-31 00:00:00,1949-10-01 00:00:00,271.0
130,2017-10-27 00:00:00,1949-10-01 00:00:00,270.984
131,2018-07-27 00:00:00,1949-10-01 00:00:00,270.627
132,1992-12-22 00:00:00,1950-01-01 00:00:00,268.3
133,1996-01-19 00:00:00,1950-01-01 00:00:00,
134,1997-05-07 00:00:00,1950-01-01 00:00:00,276.0
135,1999-10-28 00:00:00,1950-01-01 00:00:00,
136,2000-04-27 00:00:00,1950-01-01 00:00:00,275.7
137,2003-12-10 00:00:00,1950-01-01 00:00:00,275.2
138,2013-07-31 00:00:00,1950-01-01 00:00:00,281.2
139,2017-10-27 00:00:00,1950-01-01 00:00:00,281.209
140,2018-07-27 00:00:00,1950-01-01 00:00:00,280.828
141,1992-12-22 00:00:00,1950-04-01 00:00:00,277.9
142,1996-01-19 00:00:00,1950-04-01 00:00:00,
143,1997-05-07 00:00:00,1950-04-01 00:00:00,285.3
144,1999-10-28 00:00:00,1950-04-01 00:00:00,
145,2000-04-27 00:00:00,1950-04-01 00:00:00,285.1
146,2003-12-10 00:00:00,1950-04-01 00:00:00,284.6
147,2009-07-31 00:00:00,1950-04-01 00:00:00,284.5
148,2013-07-31 00:00:00,1950-04-01 00:00:00,290.7
149,2017-10-27 00:00:00,1950-04-01 00:00:00,290.735
150,2018-07-27 00:00:00,1950-04-01 00:00:00,290.383
151,1992-12-22 00:00:00,1950-07-01 00:00:00,295.3
152,1996-01-19 00:00:00,1950-07-01 00:00:00,
153,1997-05-07 00:00:00,1950-07-01 00:00:00,302.8
154,1999-10-28 00:00:00,1950-07-01 00:00:00,
155,2000-04-27 00:00:00,1950-07-01 00:00:00,302.5
156,2003-12-10 00:00:00,1950-07-01 00:00:00,302.0
157,2009-07-31 00:00:00,1950-07-01 00:00:00,301.9
158,2013-07-31 00:00:00,1950-07-01 00:00:00,308.5
159,2017-10-27 00:00:00,1950-07-01 00:00:00,308.51
160,2018-07-27 00:00:00,1950-07-01 00:00:00,308.153
161,1992-12-22 00:00:00,1950-10-01 00:00:00,306.7
162,1996-01-19 00:00:00,1950-10-01 00:00:00,
163,1997-05-07 00:00:00,1950-10-01 00:00:00,314.4
164,1999-10-28 00:00:00,1950-10-01 00:00:00,
165,2000-04-27 00:00:00,1950-10-01 00:00:00,313.9
166,2003-12-10 00:00:00,1950-10-01 00:00:00,313.4
167,2009-07-31 00:00:00,1950-10-01 00:00:00,313.3
168,2013-07-31 00:00:00,1950-10-01 00:00:00,320.3
169,2017-10-27 00:00:00,1950-10-01 00:00:00,320.32
170,2018-07-27 00:00:00,1950-10-01 00:00:00,319.945
171,1992-12-22 00:00:00,1951-01-01 00:00:00,321.6
172,1996-01-19 00:00:00,1951-01-01 00:00:00,
173,1997-05-07 00:00:00,1951-01-01 00:00:00,329.5
174,1999-10-28 00:00:00,1951-01-01 00:00:00,
175,2000-04-27 00:00:00,1951-01-01 00:00:00,329.3
176,2003-12-10 00:00:00,1951-01-01 00:00:00,329.0
177,2013-07-31 00:00:00,1951-01-01 00:00:00,336.4
178,2017-10-27 00:00:00,1951-01-01 00:00:00,336.372
179,2018-07-27 00:00:00,1951-01-01 00:00:00,336.0
180,1992-12-22 00:00:00,1951-04-01 00:00:00,329.1
181,1996-01-19 00:00:00,1951-04-01 00:00:00,
182,1997-05-07 00:00:00,1951-04-01 00:00:00,337.1
183,1999-10-28 00:00:00,1951-04-01 00:00:00,
184,2000-04-27 00:00:00,1951-04-01 00:00:00,336.9
185,2003-12-10 00:00:00,1951-04-01 00:00:00,336.7
186,2009-07-31 00:00:00,1951-04-01 00:00:00,336.6
187,2013-07-31 00:00:00,1951-04-01 00:00:00,344.5
188,2017-10-27 00:00:00,1951-04-01 00:00:00,344.455
189,2018-07-27 00:00:00,1951-04-01 00:00:00,344.09
190,1992-12-22 00:00:00,1951-07-01 00:00:00,335.8
191,1996-01-19 00:00:00,1951-07-01 00:00:00,
192,1997-05-07 00:00:00,1951-07-01 00:00:00,344.0
193,1999-10-28 00:00:00,1951-07-01 00:00:00,
194,2000-04-27 00:00:00,1951-07-01 00:00:00,343.7
195,2003-12-10 00:00:00,1951-07-01 00:00:00,343.6
196,2009-07-31 00:00:00,1951-07-01 00:00:00,343.5
197,2013-07-31 00:00:00,1951-07-01 00:00:00,351.8
198,2017-10-27 00:00:00,1951-07-01 00:00:00,351.774
199,2018-07-27 00:00:00,1951-07-01 00:00:00,351.385
200,1992-12-22 00:00:00,1951-10-01 00:00:00,340.0
201,1996-01-19 00:00:00,1951-10-01 00:00:00,
202,1997-05-07 00:00:00,1951-10-01 00:00:00,348.4
203,1999-10-28 00:00:00,1951-10-01 00:00:00,
204,2000-04-27 00:00:00,1951-10-01 00:00:00,348.1
205,2003-12-10 00:00:00,1951-10-01 00:00:00,348.0
206,2009-07-31 00:00:00,1951-10-01 00:00:00,347.9
207,2013-07-31 00:00:00,1951-10-01 00:00:00,356.6
208,2017-10-27 00:00:00,1951-10-01 00:00:00,356.579
209,2018-07-27 00:00:00,1951-10-01 00:00:00,356.178
210,1992-12-22 00:00:00,1952-01-01 00:00:00,343.2
211,1996-01-19 00:00:00,1952-01-01 00:00:00,
212,1997-05-07 00:00:00,1952-01-01 00:00:00,351.7
213,1999-10-28 00:00:00,1952-01-01 00:00:00,
214,2000-04-27 00:00:00,1952-01-01 00:00:00,351.5
215,2003-12-10 00:00:00,1952-01-01 00:00:00,351.3
216,2009-07-31 00:00:00,1952-01-01 00:00:00,351.2
217,2013-07-31 00:00:00,1952-01-01 00:00:00,360.2
218,2017-10-27 00:00:00,1952-01-01 00:00:00,360.195
219,2018-07-27 00:00:00,1952-01-01 00:00:00,359.82
220,1992-12-22 00:00:00,1952-04-01 00:00:00,343.7
221,1996-01-19 00:00:00,1952-04-01 00:00:00,
222,1997-05-07 00:00:00,1952-04-01 00:00:00,352.5
223,1999-10-28 00:00:00,1952-04-01 00:00:00,
224,2000-04-27 00:00:00,1952-04-01 00:00:00,352.4
225,2003-12-10 00:00:00,1952-04-01 00:00:00,352.2
226,2009-07-31 00:00:00,1952-04-01 00:00:00,352.1
227,2013-07-31 00:00:00,1952-04-01 00:00:00,361.4
228,2017-10-27 00:00:00,1952-04-01 00:00:00,361.414
229,2018-07-27 00:00:00,1952-04-01 00:00:00,361.03
230,1992-12-22 00:00:00,1952-07-01 00:00:00,349.6
231,1996-01-19 00:00:00,1952-07-01 00:00:00,
232,1997-05-07 00:00:00,1952-07-01 00:00:00,358.7
233,1999-10-28 00:00:00,1952-07-01 00:00:00,
234,2000-04-27 00:00:00,1952-07-01 00:00:00,358.8
235,2003-12-10 00:00:00,1952-07-01 00:00:00,358.5
236,2013-07-31 00:00:00,1952-07-01 00:00:00,368.1
237,2017-10-27 00:00:00,1952-07-01 00:00:00,368.084
238,2018-07-27 00:00:00,1952-07-01 00:00:00,367.701
239,1992-12-22 00:00:00,1952-10-01 00:00:00,362.2
240,1996-01-19 00:00:00,1952-10-01 00:00:00,
241,1997-05-07 00:00:00,1952-10-01 00:00:00,371.4
242,1999-10-28 00:00:00,1952-10-01 00:00:00,
243,2000-04-27 00:00:00,1952-10-01 00:00:00,371.8
244,2003-12-10 00:00:00,1952-10-01 00:00:00,371.4
245,2013-07-31 00:00:00,1952-10-01 00:00:00,381.2
246,2017-10-27 00:00:00,1952-10-01 00:00:00,381.241
247,2018-07-27 00:00:00,1952-10-01 00:00:00,380.812
248,1992-12-22 00:00:00,1953-01-01 00:00:00,369.0
249,1996-01-19 00:00:00,1953-01-01 00:00:00,
250,1997-05-07 00:00:00,1953-01-01 00:00:00,378.5
251,1999-10-28 00:00:00,1953-01-01 00:00:00,
252,2000-04-27 00:00:00,1953-01-01 00:00:00,378.9
253,2003-12-10 00:00:00,1953-01-01 00:00:00,378.4
254,2013-07-31 00:00:00,1953-01-01 00:00:00,388.5
255,2017-10-27 00:00:00,1953-01-01 00:00:00,388.472
256,2018-07-27 00:00:00,1953-01-01 00:00:00,387.98
257,1992-12-22 00:00:00,1953-04-01 00:00:00,372.4
