symbol,date,HML_5,HML_3,HML_2,UMD_2_12,UMD_7_12,UMD_2_6,STR_6,STR_1,returns,VOL_5,VOL_3,VOL_2,VOL_1,VOL_0.5,CORR_ACWI,BETA_ACWI,IVOL_ACWI,RESID_MOM_ACWI,CORR_SPY,BETA_SPY,IVOL_SPY,RESID_MOM_SPY,CORR_GLD,BETA_GLD,IVOL_GLD,RESID_MOM_GLD,Close,MC,EV,EVAdj,EVE,EVB,EVS,PE,PB,PS,EVE_YIELD,EVB_YIELD,EVS_YIELD,PE_YIELD,PB_YIELD,PS_YIELD,GP_EV,EBIT_EV,CF_EV,CX_EV,FCF_EV,CFI_EV,CFF_MC,NI_MC,TA_MC,NCAV_MC,Cash_MC,NetDebt_MC,Interest_MC,MC_EV,Eq_EV,RevGrowth,GrossMargin,OpMargin,NetMargin,SG&A_Rev,R&D_Rev,OtherEx_Rev,EPS,CFGrowth,CXChange,FCFGrowth,FCFMargin,D_E,AssetsGrowth,TAGrowth,EquityGrowth,ICGrowth,Rev_IC,GP_IC,ROIC,CF_IC,FCF_IC,Rev_CE,GP_CE,ROCE,CF_CE,FCF_CE,RevOTA,GPOTA,ROTA,CFOTA,FCFOTA,ROA,NI_EQ,Net_EQ,ROE,Rev_NWC,NIMargin,CX_Rev,CFI_CFO,Interest_Yield,Interest_Book,DFL,CurrentRatio,CashRatio,DIO,DSO,DPO,NCAV_Eq,Cash_Eq,NetDebt_Eq,GPGrowth,OpIncGrowth,NetGrowth,SG&AGrowth,R&DGrowth,DebtGrowth,CashGrowth,NWCGrowth,InterestGrowth,GMGNGrowth,OMGNGrowth,NMGNGrowth,drift
AMZN,2023-04-03,-0.4713551955748714,-0.0742739655615523,0.35204049351471056,-0.4197847884568354,-0.2915138175593055,-0.18104936140835337,0.11624093890231268,-0.07913593256059004,0.7811737135045407,0.02274643248785227,0.02426684653256163,0.02557870228086661,0.030373909138868664,0.027938491863525563,0.613785643104006,1.2502205415419376,-0.02022710141566696,-19.2285048615142,0.6479248850396631,1.2269631440898445,-0.01929603215304086,-19.512660003951417,0.13404061007224977,0.6135284062796287,-0.029540729147651112,-16.742465140502258,102.41,1048883220000,1118975220000,1118975220000,114.19979,2.418491,2.177067,-385.335496,7.182016,2.040696,0.008757,0.130515,0.459334,-0.002595,0.139237,0.490029,0.201213,0.010946,0.041781,-0.056878,-0.015097,-0.033603,0.009265,-0.004527,0.273856,-0.161926,0.066762,0.066825,-0.001314,0.937361,0.130515,,0.438053,0.02383,-0.005296,0.105313,,0.308911,-0.265768,,,,-0.361332,0.95943,,,,,3.226408,1.413339,0.076884,0.293475,-0.106042,1.672675,0.732721,0.039859,0.152147,-0.054976,1.789366,0.783838,0.04264,0.162761,-0.058811,0.026472,-0.032516,-0.018638,-0.018638,-59.751569,-0.009239,-0.123827,-0.804265,-0.112508,-0.009436,0.89887,0.944644,0.450638,43.47807,30.081475,100.59181,-1.162952,0.479489,0.479941,,,,,,,,,,,,,93
AMZN,2024-04-03,-1.003734827264239,-0.15412844036697226,-0.11524822695035453,0.7402597402597404,0.21784981935357872,0.4289608723540732,-0.4625561257216164,-0.023510268207832974,-0.021928622334301817,0.022062142617323553,0.02353002593126739,0.02525930827258805,0.018608061206550945,0.017243239348842122,0.5904431045764368,1.3651767675790483,-0.015586740267155293,19.040649241968538,0.6229054847072876,1.412495534269607,-0.015152062072768473,15.223630354534476,0.14342954083408427,0.568261242584899,-0.018938103781655665,25.580366826252487,182.41,1913845720000,1962676720000,1962676720000,66.572938,3.718219,3.414628,62.903721,9.48035,3.329672,0.015021,0.102857,0.292858,0.015897,0.105481,0.30033,0.137591,0.018776,0.043281,-0.026866,0.016415,-0.02539,-0.008297,0.015699,0.161982,-0.080272,0.045343,0.025515,-0.000122,0.97512,0.102857,0.118296,0.469821,0.064114,0.052933,0.097751,,0.307955,2.899828,0.816949,-0.171514,,0.379264,0.671757,0.140874,0.079253,0.382298,0.267223,2.847232,1.337689,0.182549,0.420785,0.159589,1.583705,0.744058,0.101538,0.234052,0.088767,1.854097,0.871094,0.118874,0.274012,0.103923,0.069815,0.148833,0.150712,0.150712,77.318402,0.052273,-0.091737,-0.586643,-0.006323,-0.001154,0.993717,1.045077,0.526204,39.906545,33.181785,101.785725,-0.761006,0.42987,0.241887,0.199394,2.008818,,0.038002,,-0.032166,0.239254,,-0.830914,0.072521,1.690474,,94
AMZN,2025-04-03,-0.8715088194105707,-0.09079236977256055,-0.7421150278293136,0.12395153774464118,-0.002466970012608871,0.12673114970323152,0.01950978236975165,0.12979221539362018,,0.022264398512408193,0.023370891463953554,0.01885626117855313,0.019061930568373336,0.02018610994921079,0.6426406251534641,1.296126122976169,-0.01381604310223327,-5.435308246137748,0.6748185778082109,1.2538285488595022,-0.012957586602011066,-5.898136730885995,0.1490210553517213,0.5255092047710102,-0.01904716557968731,-9.440940727783687,178.41,1912733610000,1942431610000,1942431610000,35.397774,3.108418,3.044759,32.283514,6.688581,2.998208,0.02825,0.147223,0.328433,0.030976,0.149509,0.333533,0.160454,0.035313,0.059656,-0.042729,0.016926,-0.048569,-0.006175,0.028698,0.189791,-0.077406,0.05291,0.015526,0.001187,0.984711,0.147223,0.109909,0.488544,0.107519,0.092871,0.086629,,0.294395,5.52635,0.364125,0.574067,0.020517,0.283732,0.45774,0.183839,0.171002,0.41657,0.41657,2.23086,1.089873,0.239861,0.405207,0.11497,1.432126,0.699656,0.153981,0.260127,0.073806,1.757366,0.85855,0.188951,0.319203,0.090568,0.109767,0.191947,0.207183,0.207183,55.785152,0.086042,-0.130101,-0.814156,0.033108,0.007941,1.034242,1.063735,0.564016,38.27317,31.725435,105.55873,-0.517736,0.35389,0.10385,0.15414,0.86131,0.947346,-0.016374,,-0.034739,0.16619,0.538337,,0.039851,0.676997,0.754501,93
AMZN,2026-02-19,-0.23788424259207974,-1.0694444444444446,-0.18665565453365596,0.05511185632970039,0.006089220315050881,0.048725933073110905,0.11780185079601768,0.1587905654064905,,0.022167072333648976,0.019609467263333794,0.019787858458022178,0.022062527708568744,0.01947294421239333,0.6720653134308107,1.2523339931365647,-0.016548332953983523,-21.982618722587866,0.7074624844851202,1.1936172630745374,-0.015457961945925112,-17.730774988539974,0.058959867332473645,0.38392314431745833,-0.02399596161402682,-15.813461373263818,201.15,2177851050000,2207809050000,2207809050000,34.5078,2.698894,3.079558,28.039797,5.29807,3.037771,0.028979,0.186187,0.324722,0.035664,0.188748,0.329189,0.163289,0.036224,0.063191,-0.059706,0.003485,-0.064564,0.004436,0.035746,0.221045,-0.081683,0.056491,0.013756,0.000967,0.986431,0.186187,0.123778,0.502857,0.111553,0.108338,0.081321,,0.309983,7.173732,0.203984,0.5882,-0.765953,0.055156,0.372172,0.309089,0.326109,0.437441,0.437441,1.744065,0.877015,0.194556,0.339396,0.01872,1.1948,0.600813,0.133283,0.232509,0.012824,1.489236,0.748872,0.166129,0.289806,0.015984,0.097764,0.189383,0.188948,0.188948,64.716014,0.108587,-0.183867,-1.021725,0.026346,0.005126,1.027059,1.050815,0.56434,39.248085,34.48228,124.845695,-0.432764,0.299293,0.072879,0.1567,0.165935,0.31093,0.054916,,0.168732,0.215678,-0.031305,-0.072215,0.029297,0.037519,0.166543,50
AAPL,2023-04-03,-3.140919752102615,-1.8079967110201425,-0.3672233596716681,-0.1283112763227341,-0.18044432725054405,0.06361135998597067,-0.170233064218545,-0.10024498444053931,0.02636318922305869,0.021044494988730886,0.020326091967770597,0.018818455486193934,0.021820560596125114,0.020847972120419323,0.6984692052458078,1.0822941342402679,-0.012526470279637934,2.2584111164486402,0.7459240128760851,1.0718391356812713,-0.011105138684925256,3.5503017744683687,0.11580858321890042,0.5059811469805173,-0.02151971448436786,-2.7633620789766944,166.17,2712861343230,2797037343230,2797037343230,29.273145,7.929122,7.093175,27.182162,53.53768,6.879708,0.034161,0.018116,0.140981,0.036789,0.018678,0.145355,0.061058,0.042701,0.043672,-0.003828,0.039843,-0.007992,-0.040824,0.035122,0.017348,-0.06144,0.017806,0.031028,-0.000039,0.969905,0.018116,,0.433096,0.302887,0.253096,0.063637,0.066571,0.0,6.1132,,,,0.912338,2.614462,,,,,2.680771,1.161032,0.811972,0.830423,0.757626,1.983811,0.859181,0.600871,0.614525,0.560655,8.378726,3.628795,2.537811,2.595478,2.367954,0.338583,1.880376,1.969589,1.969589,-21.226678,0.241632,-0.027155,-0.183003,-0.000887,-0.002092,0.999113,0.879356,0.313699,8.075625,26.087645,104.685285,-3.289351,0.953268,1.661194,,,,,,,,,,,,,185
AAPL,2024-04-03,-2.608473583692753,-0.40326772781287823,0.015644679674558182,0.08692254981333858,0.04033707187178859,0.04477921550727082,0.013432072187514965,0.05571635311152556,0.20335792137503206,0.019991199206268757,0.016884482720617308,0.017659423694589026,0.012154464248009937,0.011637637067676555,0.7058672089801733,1.1383401736779226,-0.009955679520661845,-19.007895256260852,0.751750687627953,1.1833211051541777,-0.009460122352896467,-26.12241262320117,0.11658774956459986,0.4565034612365487,-0.012557948904170285,-2.787832770314504,169.65,2682598598550,2732131598550,2732131598550,29.878693,7.748903,7.128199,27.657081,43.16607,6.998966,0.033469,0.022746,0.140288,0.036157,0.023166,0.142878,0.061911,0.041836,0.04046,-0.004011,0.036449,0.001356,-0.040441,0.033918,0.018656,-0.05475,0.022946,0.018465,-0.000068,0.98187,0.022746,-0.028005,0.441311,0.298214,0.253062,0.065048,0.078049,0.0,6.134053,-0.09503,0.02344,-0.106413,0.900862,1.787533,-0.000488,0.063383,0.226437,-0.02601,2.675282,1.180632,0.797807,0.771577,0.695084,1.849162,0.816056,0.551446,0.533316,0.480444,7.658654,3.379851,2.283919,2.208828,1.989849,0.324182,1.464114,1.56076,1.56076,-220.025832,0.237392,-0.028592,0.033516,-0.001601,-0.002945,0.998402,0.988012,0.423617,10.791225,28.100255,106.72162,-2.363322,0.99049,0.797042,-0.009568,-0.043002,-0.028135,-0.006456,0.139576,-0.161473,0.274325,-0.906228,0.726415,0.018968,-0.015428,-0.000134,186
AAPL,2025-04-03,-2.468106963117017,-0.18453177216127759,-0.23508227395930859,0.40969184519369173,0.3335568369274171,0.05709168605193726,0.0976328206995436,0.1463681048607537,,0.018304850267275772,0.017322817042130997,0.01457784077762184,0.01664691429775945,0.017094524501201698,0.6492107434975077,1.1823504743716802,-0.013772521179626067,9.447696218889604,0.7009071596275592,1.1679762410943852,-0.013327165326222285,9.673139635849653,0.12122056620125801,0.46888736648016394,-0.016966388252203295,2.3866295546643563,203.19,3130770823050,3172228823050,3172228823050,32.181584,8.691514,8.112391,33.399876,54.974027,8.00637,0.031074,0.017953,0.123268,0.02994,0.01819,0.124901,0.056958,0.038842,0.037278,-0.002978,0.0343,0.000925,-0.038963,0.031554,0.016918,-0.049522,0.020816,0.013242,,0.986931,0.017953,0.02022,0.462063,0.315102,0.239713,0.066738,0.080223,0.0,6.083555,0.069756,-0.137969,0.092615,0.920113,1.872327,0.035161,0.058346,-0.08361,-0.067237,2.92612,1.352053,0.922027,0.884896,0.814204,2.073488,0.958083,0.653361,0.627049,0.576956,7.382755,3.411302,2.326323,2.23264,2.05428,0.337597,1.734644,1.645935,1.645935,-16.707327,0.252632,-0.024159,0.024819,,,1.0,0.867313,0.369467,12.642505,31.1856,119.658315,-2.722441,1.144355,0.727972,0.068195,0.077996,-0.0336,0.046727,0.048638,-0.040139,0.058744,12.435706,,0.047024,0.05663,-0.05275,185
AAPL,2026-02-19,-1.0839474862527858,-0.7530384348606929,-0.4591278118178248,0.04702562317304171,-0.05619888440740428,0.10937103789672187,-0.14562215583370608,-0.03267718076155446,,0.01742295785294184,0.016089199307168556,0.01771780784372942,0.02011565670893603,0.014117575852733351,0.6881125668884654,1.1910238283736132,-0.014159604147624847,-12.542848874031481,0.728073158018084,1.1403485650899121,-0.013324538349070762,-6.628636604086756,0.06677353292410314,0.38568035723978866,-0.021427338654077158,-8.353835491048446,263.88,3959439444360,4003399444360,4003399444360,37.611795,11.144049,9.619833,35.348982,53.699693,9.514201,0.026587,0.018418,0.103952,0.028289,0.018622,0.105106,0.048759,0.033234,0.027847,-0.003176,0.024671,0.003796,-0.030481,0.026818,0.01403,-0.03474,0.013814,0.011103,,0.989019,0.018418,0.064255,0.469052,0.319708,0.269151,0.066323,0.083021,0.0,7.464996,-0.057267,0.34593,-0.092273,0.885946,1.33803,-0.015724,0.048824,0.294697,0.021102,3.049782,1.430505,0.97504,0.816981,0.723801,2.149481,1.008218,0.687206,0.575807,0.510134,7.491377,3.513843,2.395053,2.006804,1.77792,0.370364,1.440104,1.51913,1.51913,-23.546509,0.255149,-0.030553,0.1363,,,1.0,0.893293,0.330234,9.44547,34.887065,115.40059,-1.865528,0.741825,0.596205,0.080351,0.079811,0.194952,0.057631,0.101371,-0.074764,-0.160716,-0.244862,,0.015126,0.014617,0.122805,142
ABBV,2022-04-03,-2.1460813429737486,-1.281606355508036,-1.4428908376029304,0.450659330258008,0.02886460073232122,0.4099613585941855,-0.5249818084977043,-0.08157702280451207,0.02394608323085845,0.017782346257741694,0.0174556365556048,0.013944976169268656,0.01110880958882127,0.010471996544100182,0.4846815943748213,0.7281147268363222,-0.011569687085484184,37.75250054644754,0.5128352325124047,0.7375974274036954,-0.011259900694504279,33.01992214861537,-0.008195521373036797,0.3228593826390928,-0.01154239215450082,38.14638259852463,162.68,287673176385,354527176385,354527176385,24.724334,2.419502,6.30865,25.08486,18.670377,5.119013,0.040446,0.04354,0.158513,0.039865,0.053561,0.19535,0.109303,0.050557,0.064246,-0.00222,0.062026,-0.006612,-0.066183,0.036122,0.028637,-0.358619,0.034171,0.232396,-0.008287,0.811428,0.043461,,0.689556,0.318949,0.204068,0.219745,0.143175,0.007687,6.485187,,,,0.965448,4.967867,,,,,0.682218,0.470428,0.217593,0.276507,0.266953,0.504756,0.348058,0.160992,0.204581,0.197512,6.82168,4.703933,2.175771,2.76487,2.669337,0.122324,0.67318,0.747733,0.744289,-7.734242,0.184907,-0.014004,-0.102911,-0.133006,-0.154725,0.882608,0.793544,0.279309,65.44304,64.80064,60.296175,-6.695548,0.63798,4.338915,,,,,,,,,,,,,93
ABBV,2023-04-03,-1.2376730204779007,-1.5013885049240714,-0.6065711993126466,-0.003883395156470959,-0.13415968514740784,0.15046225932909607,-0.18260384237846838,-0.027937972574707537,0.14995186636269375,0.01702115458825466,0.014152605046312432,0.012953214437112188,0.014462297596796235,0.012598633998291638,0.4521895605793453,0.6527991140711955,-0.014321482197725985,5.638888998982876,0.481542818328143,0.6474106195559595,-0.014281645523333832,6.109339494170856,0.015277874707832362,0.3453872046341368,-0.01441645386143707,1.3032797356992578,160.42,285226760000,339268760000,339268760000,22.540977,2.444211,5.84402,24.208688,16.531051,4.913128,0.044364,0.050954,0.171115,0.041307,0.060492,0.203536,0.119787,0.055455,0.07352,-0.002049,0.071471,-0.001836,-0.086959,0.0378,0.02985,-0.326249,0.032357,0.18947,-0.007166,0.84071,0.050856,0.033044,0.700038,0.324078,0.202949,0.262859,0.112137,0.000965,6.626547,0.095096,-0.1169,0.102683,0.972136,3.660034,-0.052713,0.033503,0.119808,-0.133744,0.813571,0.569531,0.26366,0.349552,0.339812,0.531304,0.371933,0.172184,0.228276,0.221915,6.818652,4.773315,2.209772,2.929645,2.848015,0.135543,0.623683,0.684676,0.682856,-54.003721,0.185717,-0.011972,-0.024977,-0.108643,-0.118465,0.902004,0.963606,0.312445,75.01626,70.75671,61.497025,-5.393242,0.53489,3.132143,0.048747,0.049654,0.027381,0.235728,-0.190902,-0.174913,-0.061139,-0.852051,-0.142617,0.015201,0.016081,-0.005483,93
